Data,Produto,Quantidade,Preço Unitário,Total,Mês,Ano
2024-07-24,Camiseta,7,87.69,613.8299999999999,7,2024
2025-11-12,Mochila,2,476.1,952.2,11,2025
2025-08-06,Boné,4,80.17,320.68,8,2025
2023-02-18,Calça,7,164.56,1151.92,2,2023
2023-12-03,Camiseta,3,302.9,908.7,12,2023
2025-12-26,Sapato,1,226.67,226.67,12,2025
2023-04-23,Calça,5,165.68,828.4000000000001,4,2023
2023-10-06,Tênis,3,134.67,404.01,10,2023
2023-07-31,Calça,2,72.11,144.22,7,2023
2023-01-29,Boné,5,297.01,1485.05,1,2023
2024-07-07,Mochila,8,171.37,1370.96,7,2024
2023-12-29,Sapato,1,324.9,324.9,12,2023
2024-12-04,Tênis,2,54.15,108.3,12,2024
2025-06-10,Camiseta,1,112.58,112.58,6,2025
2025-01-01,Camiseta,10,399.65,3996.5,1,2025
2024-12-20,Boné,8,100.47,803.76,12,2024
2024-05-25,Mochila,5,228.67,1143.35,5,2024
2023-04-03,Boné,1,233.66,233.66,4,2023
2024-03-14,Camiseta,4,412.21,1648.84,3,2024
2023-03-30,Calça,3,321.5,964.5,3,2023
2024-04-24,Mochila,7,470.76,3295.32,4,2024
2024-01-21,Tênis,6,262.24,1573.44,1,2024
2025-03-13,Mochila,7,482.33,3376.31,3,2025
2025-01-01,Calça,4,366.47,1465.88,1,2025
2025-10-07,Mochila,3,474.84,1424.52,10,2025
2025-05-28,Boné,9,248.86,2239.74,5,2025
2025-12-28,Tênis,4,100.92,403.68,12,2025
2025-02-08,Mochila,6,306.98,1841.88,2,2025
2023-03-11,Boné,6,473.28,2839.68,3,2023
2025-12-01,Boné,2,380.83,761.66,12,2025
2023-09-21,Sapato,3,430.79,1292.37,9,2023
2023-09-08,Mochila,9,281.15,2530.35,9,2023
2025-03-28,Camiseta,9,361.19,3250.71,3,2025
2025-01-16,Sapato,10,464.47,4644.700000000001,1,2025
2024-10-02,Camiseta,1,398.37,398.37,10,2024
2023-03-16,Boné,6,391.55,2349.3,3,2023
2025-03-06,Boné,1,332.57,332.57,3,2025
2024-04-24,Mochila,5,296.48,1482.4,4,2024
2025-08-31,Camiseta,2,58.02,116.04,8,2025
2024-12-08,Camiseta,8,367.05,2936.4,12,2024
2023-10-26,Mochila,7,265.03,1855.21,10,2023
2025-03-22,Camiseta,10,301.17,3011.7000000000003,3,2025
2025-11-13,Sapato,9,226.14,2035.26,11,2025
2024-04-11,Mochila,2,178.03,356.06,4,2024
2025-12-02,Boné,5,273.5,1367.5,12,2025
2024-02-15,Mochila,6,234.77,1408.62,2,2024
2025-10-02,Tênis,8,275.85,2206.8,10,2025
2023-03-04,Boné,2,428.1,856.2,3,2023
2025-10-02,Tênis,3,254.0,762.0,10,2025
2024-11-14,Tênis,6,70.25,421.5,11,2024
2024-03-16,Boné,3,274.16,822.48,3,2024
2025-09-17,Sapato,3,276.14,828.42,9,2025
2023-08-27,Tênis,8,432.63,3461.04,8,2023
2025-11-17,Boné,2,419.59,839.18,11,2025
2025-05-18,Tênis,8,225.9,1807.2,5,2025
2023-05-30,Mochila,3,271.29,813.8700000000001,5,2023
2023-09-28,Tênis,1,228.06,228.06,9,2023
2024-12-24,Mochila,9,304.19,2737.71,12,2024
2024-06-22,Calça,8,247.52,1980.16,6,2024
2023-12-11,Sapato,1,256.76,256.76,12,2023
2024-11-30,Sapato,6,184.67,1108.02,11,2024
2023-12-29,Mochila,1,133.86,133.86,12,2023
2024-08-01,Camiseta,9,183.86,1654.7400000000002,8,2024
2025-01-01,Camiseta,3,215.29,645.87,1,2025
2024-02-19,Camiseta,1,122.61,122.61,2,2024
2024-05-01,Tênis,5,382.78,1913.9,5,2024
2024-07-20,Mochila,9,297.06,2673.54,7,2024
2023-03-11,Tênis,1,110.09,110.09,3,2023
2023-05-07,Sapato,2,413.58,827.16,5,2023
2025-09-11,Sapato,9,55.47,499.23,9,2025
2024-09-19,Mochila,5,433.7,2168.5,9,2024
2024-10-24,Calça,10,498.36,4983.6,10,2024
2025-05-25,Boné,1,102.23,102.23,5,2025
2024-03-04,Tênis,2,321.14,642.28,3,2024
2025-11-15,Calça,7,229.76,1608.32,11,2025
2025-08-24,Boné,1,119.37,119.37,8,2025
2023-09-26,Boné,4,139.54,558.16,9,2023
2024-12-18,Boné,2,212.75,425.5,12,2024
2025-09-03,Sapato,4,157.6,630.4,9,2025
2023-07-28,Camiseta,6,384.13,2304.78,7,2023
2023-08-09,Boné,7,444.89,3114.23,8,2023
2025-02-07,Tênis,9,111.64,1004.76,2,2025
2023-01-09,Mochila,6,56.81,340.86,1,2023
2025-05-16,Sapato,2,172.62,345.24,5,2025
2023-06-27,Sapato,10,467.24,4672.4,6,2023
2025-06-20,Camiseta,5,473.78,2368.9,6,2025
2023-08-24,Tênis,10,53.72,537.2,8,2023
2025-09-03,Camiseta,9,455.94,4103.46,9,2025
2025-05-05,Sapato,6,461.67,2770.02,5,2025
2024-10-05,Tênis,3,100.43,301.29,10,2024
2025-05-15,Boné,8,63.08,504.64,5,2025
2023-10-12,Mochila,5,183.45,917.25,10,2023
2025-01-11,Mochila,10,294.98,2949.8,1,2025
2025-03-19,Tênis,5,171.95,859.75,3,2025
2025-04-19,Tênis,5,156.58,782.9000000000001,4,2025
2024-12-01,Tênis,4,130.87,523.48,12,2024
2023-01-05,Sapato,3,337.66,1012.98,1,2023
2023-06-03,Mochila,9,65.89,593.01,6,2023
2025-12-12,Tênis,3,414.85,1244.5500000000002,12,2025
2023-03-11,Tênis,9,344.32,3098.88,3,2023
2025-04-07,Boné,8,453.55,3628.4,4,2025
2025-11-19,Camiseta,10,400.17,4001.7,11,2025
2024-06-25,Mochila,10,320.2,3202.0,6,2024
2025-03-30,Calça,3,353.87,1061.61,3,2025
2024-05-14,Mochila,5,64.22,321.1,5,2024
2023-10-27,Calça,6,473.74,2842.44,10,2023
2024-03-09,Sapato,10,224.16,2241.6,3,2024
2023-07-20,Boné,4,457.69,1830.76,7,2023
2024-08-27,Boné,9,145.19,1306.71,8,2024
2023-07-13,Calça,9,425.43,3828.87,7,2023
2023-12-29,Tênis,8,343.75,2750.0,12,2023
2024-02-23,Mochila,2,409.87,819.74,2,2024
2023-01-25,Tênis,3,446.19,1338.57,1,2023
2023-12-25,Mochila,5,92.64,463.2,12,2023
2024-09-06,Boné,2,136.34,272.68,9,2024
2023-11-18,Calça,8,166.42,1331.36,11,2023
2025-06-08,Camiseta,8,441.59,3532.72,6,2025
2025-10-31,Mochila,4,429.88,1719.52,10,2025
2023-06-23,Boné,5,125.74,628.6999999999999,6,2023
2024-01-05,Camiseta,8,120.04,960.32,1,2024
2023-03-28,Calça,3,287.76,863.28,3,2023
2023-08-25,Sapato,5,64.64,323.2,8,2023
2025-03-15,Mochila,6,293.3,1759.8000000000002,3,2025
2023-07-13,Calça,6,372.71,2236.26,7,2023
2025-06-03,Tênis,5,97.38,486.9,6,2025
2025-12-07,Calça,9,475.78,4282.02,12,2025
2024-05-22,Mochila,1,116.07,116.07,5,2024
2025-06-08,Tênis,3,492.3,1476.9,6,2025
2025-06-08,Camiseta,6,398.31,2389.86,6,2025
2024-09-21,Boné,6,126.07,756.42,9,2024
2023-08-12,Sapato,9,225.12,2026.08,8,2023
2024-09-05,Tênis,5,216.4,1082.0,9,2024
2024-12-18,Camiseta,5,155.17,775.8499999999999,12,2024
2024-03-14,Sapato,4,292.06,1168.24,3,2024
2025-07-17,Calça,9,349.62,3146.58,7,2025
2024-10-04,Boné,3,369.84,1109.52,10,2024
2023-12-17,Boné,7,281.07,1967.49,12,2023
2024-01-09,Calça,9,429.25,3863.25,1,2024
2023-09-17,Sapato,8,305.7,2445.6,9,2023
2025-11-11,Sapato,9,225.56,2030.04,11,2025
2025-12-22,Mochila,3,376.06,1128.18,12,2025
2025-09-30,Camiseta,3,305.41,916.23,9,2025
2025-09-27,Camiseta,3,290.74,872.22,9,2025
2023-04-12,Tênis,8,490.34,3922.72,4,2023
2023-07-23,Boné,6,337.3,2023.8,7,2023
2024-10-06,Calça,9,478.79,4309.110000000001,10,2024
2025-08-18,Sapato,7,217.19,1520.33,8,2025
2024-07-17,Sapato,5,434.27,2171.35,7,2024
2024-04-03,Sapato,1,179.88,179.88,4,2024
2023-05-15,Tênis,5,136.85,684.25,5,2023
2025-07-22,Calça,2,421.22,842.44,7,2025
2024-10-08,Calça,7,348.44,2439.08,10,2024
2024-08-13,Camiseta,7,152.3,1066.1,8,2024
2025-11-15,Camiseta,1,492.13,492.13,11,2025
2023-06-17,Camiseta,1,487.42,487.42,6,2023
2023-05-08,Boné,8,232.19,1857.52,5,2023
2023-06-04,Sapato,1,249.13,249.13,6,2023
2023-07-31,Calça,8,382.67,3061.36,7,2023
2024-05-28,Calça,7,278.56,1949.92,5,2024
2024-02-28,Tênis,2,136.59,273.18,2,2024
2023-07-04,Mochila,3,279.36,838.08,7,2023
2025-12-18,Mochila,4,316.23,1264.92,12,2025
2024-10-04,Mochila,6,419.01,2514.06,10,2024
2023-05-29,Mochila,1,380.76,380.76,5,2023
2024-04-14,Mochila,1,469.2,469.2,4,2024
2024-12-18,Mochila,2,398.27,796.54,12,2024
2025-02-08,Mochila,3,347.5,1042.5,2,2025
2025-03-27,Boné,6,471.26,2827.56,3,2025
2025-07-22,Mochila,4,319.92,1279.68,7,2025
2023-10-18,Calça,9,222.3,2000.7,10,2023
2023-11-25,Calça,4,232.97,931.88,11,2023
2024-09-19,Tênis,1,291.77,291.77,9,2024
2024-10-16,Mochila,6,171.73,1030.38,10,2024
2023-01-11,Calça,5,160.43,802.1500000000001,1,2023
2024-08-12,Camiseta,1,429.88,429.88,8,2024
2024-04-24,Tênis,2,107.81,215.62,4,2024
2024-07-15,Tênis,3,374.19,1122.57,7,2024
2023-05-23,Camiseta,6,297.97,1787.8200000000002,5,2023
2023-11-25,Boné,10,485.03,4850.299999999999,11,2023
2024-05-04,Calça,4,67.38,269.52,5,2024
2025-06-14,Sapato,6,301.35,1808.1,6,2025
2025-06-17,Sapato,7,376.1,2632.7000000000003,6,2025
2025-02-14,Calça,3,332.66,997.98,2,2025
2025-05-27,Mochila,10,86.25,862.5,5,2025
2025-02-08,Tênis,6,264.12,1584.72,2,2025
2024-08-14,Tênis,3,221.2,663.5999999999999,8,2024
2023-12-02,Mochila,5,363.42,1817.1,12,2023
2023-12-09,Calça,7,88.52,619.64,12,2023
2024-11-09,Calça,7,496.56,3475.92,11,2024
2023-12-25,Tênis,9,219.12,1972.08,12,2023
2025-02-23,Boné,9,233.56,2102.04,2,2025
2025-06-14,Boné,7,462.96,3240.72,6,2025
2023-04-17,Boné,3,405.31,1215.93,4,2023
2024-07-21,Mochila,4,431.29,1725.16,7,2024
2023-04-11,Calça,3,412.12,1236.36,4,2023
2023-10-09,Sapato,7,468.53,3279.71,10,2023
2023-04-14,Boné,10,138.85,1388.5,4,2023
2024-10-15,Camiseta,9,119.41,1074.69,10,2024
2024-10-27,Calça,5,392.3,1961.5,10,2024
2023-01-21,Calça,10,321.48,3214.8,1,2023
2024-03-05,Boné,6,445.11,2670.66,3,2024
2023-02-04,Calça,6,424.82,2548.92,2,2023
2025-12-07,Sapato,2,485.95,971.9,12,2025
2025-11-13,Sapato,7,444.51,3111.57,11,2025
2023-09-04,Boné,9,452.14,4069.26,9,2023
2024-09-23,Sapato,3,335.55,1006.65,9,2024
2023-07-08,Boné,6,372.12,2232.7200000000003,7,2023
2025-05-02,Mochila,10,214.54,2145.4,5,2025
2024-12-21,Sapato,4,491.73,1966.92,12,2024
2023-05-09,Camiseta,8,355.44,2843.52,5,2023
2024-06-26,Boné,1,438.82,438.82,6,2024
2023-03-10,Calça,10,211.06,2110.6,3,2023
2024-10-23,Calça,3,407.48,1222.44,10,2024
2024-08-27,Boné,6,465.94,2795.64,8,2024
2025-08-07,Boné,3,496.73,1490.19,8,2025
2025-12-09,Calça,5,228.21,1141.05,12,2025
2025-05-28,Sapato,6,155.42,932.52,5,2025
2025-09-07,Camiseta,2,262.51,525.02,9,2025
2023-04-05,Tênis,8,413.52,3308.16,4,2023
2023-10-22,Calça,7,233.45,1634.15,10,2023
2024-04-03,Boné,9,353.39,3180.51,4,2024
2024-03-29,Mochila,10,398.42,3984.2,3,2024
2025-08-20,Boné,8,321.09,2568.72,8,2025
2023-11-06,Camiseta,9,222.46,2002.14,11,2023
2025-07-19,Sapato,4,175.17,700.68,7,2025
2025-03-11,Boné,6,291.05,1746.3000000000002,3,2025
2025-04-17,Mochila,10,303.89,3038.9,4,2025
2024-09-11,Camiseta,10,484.25,4842.5,9,2024
2025-04-07,Tênis,7,254.07,1778.49,4,2025
2023-09-01,Camiseta,4,247.66,990.64,9,2023
2025-01-15,Tênis,9,260.58,2345.22,1,2025
2023-11-27,Sapato,5,249.85,1249.25,11,2023
2024-11-28,Calça,9,473.24,4259.16,11,2024
2023-10-25,Boné,5,178.1,890.5,10,2023
2024-09-22,Boné,4,373.53,1494.12,9,2024
2025-07-04,Calça,7,452.18,3165.26,7,2025
2025-06-28,Boné,10,459.39,4593.9,6,2025
2025-05-09,Boné,2,90.79,181.58,5,2025
2025-06-18,Boné,10,492.15,4921.5,6,2025
2024-05-19,Tênis,3,59.57,178.71,5,2024
2024-04-26,Tênis,5,110.58,552.9,4,2024
2025-05-01,Calça,9,342.05,3078.4500000000003,5,2025
2025-03-07,Sapato,9,154.85,1393.65,3,2025
2025-10-05,Camiseta,4,468.73,1874.92,10,2025
2024-12-06,Calça,8,343.62,2748.96,12,2024
2025-06-11,Boné,1,354.23,354.23,6,2025
2024-09-14,Mochila,4,432.63,1730.52,9,2024
2023-06-28,Tênis,5,85.57,427.85,6,2023
2025-05-10,Tênis,6,74.58,447.48,5,2025
2025-03-02,Mochila,1,341.16,341.16,3,2025
2025-11-13,Calça,8,424.46,3395.68,11,2025
2023-02-07,Boné,10,399.97,3999.7,2,2023
2023-08-26,Camiseta,7,274.15,1919.05,8,2023
2025-01-12,Tênis,10,202.46,2024.6,1,2025
2023-11-27,Mochila,3,405.97,1217.91,11,2023
2024-07-14,Sapato,2,439.77,879.54,7,2024
2024-02-21,Calça,2,371.99,743.98,2,2024
2025-09-28,Mochila,9,430.59,3875.31,9,2025
2024-12-14,Boné,1,331.98,331.98,12,2024
2023-08-27,Mochila,4,469.85,1879.4,8,2023
2023-01-07,Mochila,4,296.02,1184.08,1,2023
2023-01-06,Camiseta,2,485.37,970.74,1,2023
2024-05-21,Boné,3,81.48,244.44,5,2024
2025-08-19,Calça,3,106.42,319.26,8,2025
2024-12-19,Calça,10,97.67,976.7,12,2024
2025-12-11,Boné,10,363.38,3633.8,12,2025
2025-08-18,Tênis,1,134.46,134.46,8,2025
2024-12-24,Camiseta,9,463.86,4174.74,12,2024
2025-02-14,Mochila,3,286.2,858.5999999999999,2,2025
2024-04-23,Camiseta,1,421.31,421.31,4,2024
2024-05-18,Sapato,6,408.69,2452.14,5,2024
2023-10-07,Tênis,9,169.37,1524.33,10,2023
2023-01-10,Boné,8,401.52,3212.16,1,2023
2025-03-20,Calça,9,391.05,3519.4500000000003,3,2025
2023-06-24,Boné,9,116.14,1045.26,6,2023
2025-10-20,Camiseta,5,151.98,759.9,10,2025
2023-06-06,Camiseta,1,393.8,393.8,6,2023
2023-10-06,Camiseta,2,145.69,291.38,10,2023
2025-05-10,Camiseta,1,453.36,453.36,5,2025
2023-11-01,Mochila,2,137.55,275.1,11,2023
2023-12-17,Tênis,10,325.81,3258.1,12,2023
2025-07-28,Boné,6,83.49,500.94,7,2025
2023-08-18,Mochila,4,318.03,1272.12,8,2023
2024-12-12,Calça,6,270.41,1622.46,12,2024
2023-02-10,Calça,6,450.05,2700.3,2,2023
2024-08-13,Tênis,10,89.37,893.7,8,2024
2025-12-30,Tênis,2,499.59,999.18,12,2025
2024-09-23,Tênis,5,156.87,784.35,9,2024
2024-12-06,Sapato,3,121.07,363.21,12,2024
2024-12-24,Mochila,3,53.79,161.37,12,2024
2024-06-01,Camiseta,5,131.43,657.1500000000001,6,2024
2025-11-26,Tênis,7,314.52,2201.64,11,2025
2025-05-26,Mochila,1,437.47,437.47,5,2025
2023-06-12,Sapato,10,134.01,1340.1,6,2023
2024-08-13,Calça,4,385.92,1543.68,8,2024
2023-12-04,Boné,9,368.36,3315.24,12,2023
2024-12-04,Calça,2,209.5,419.0,12,2024
2023-11-12,Camiseta,1,154.42,154.42,11,2023
2025-03-05,Tênis,5,177.49,887.45,3,2025
2023-05-30,Mochila,8,244.38,1955.04,5,2023
2025-04-12,Sapato,6,294.62,1767.72,4,2025
2023-03-05,Boné,1,307.44,307.44,3,2023
2025-05-02,Sapato,8,259.5,2076.0,5,2025
2024-07-17,Sapato,5,291.81,1459.05,7,2024
2025-05-25,Tênis,5,80.53,402.65,5,2025
2025-03-12,Tênis,10,115.79,1157.9,3,2025
2024-01-02,Tênis,9,160.02,1440.18,1,2024
2023-04-06,Boné,10,379.51,3795.1,4,2023
2023-03-11,Mochila,4,349.21,1396.84,3,2023
2023-04-25,Calça,7,203.3,1423.1,4,2023
2025-02-20,Mochila,9,222.37,2001.33,2,2025
2023-08-25,Camiseta,6,164.42,986.52,8,2023
2025-11-27,Calça,7,463.97,3247.79,11,2025
2023-09-12,Calça,1,73.38,73.38,9,2023
2024-11-18,Boné,1,129.65,129.65,11,2024
2025-01-30,Calça,8,322.68,2581.44,1,2025
2025-05-26,Boné,3,287.01,861.03,5,2025
2023-06-03,Mochila,9,270.44,2433.96,6,2023
2025-08-12,Tênis,5,314.43,1572.15,8,2025
2025-05-10,Sapato,1,139.73,139.73,5,2025
2024-04-08,Camiseta,9,437.24,3935.16,4,2024
2023-11-29,Mochila,7,190.33,1332.3100000000002,11,2023
2025-07-05,Calça,1,238.14,238.14,7,2025
2023-04-19,Mochila,4,94.03,376.12,4,2023
2023-03-18,Tênis,2,438.78,877.56,3,2023
2023-07-04,Calça,10,86.49,864.9,7,2023
2023-08-31,Sapato,5,460.29,2301.4500000000003,8,2023
2024-01-16,Calça,3,483.2,1449.6,1,2024
2025-06-05,Sapato,6,341.71,2050.26,6,2025
2025-11-08,Sapato,8,82.19,657.52,11,2025
2023-01-16,Sapato,1,392.32,392.32,1,2023
2023-02-11,Boné,6,438.61,2631.66,2,2023
2024-06-12,Tênis,8,246.24,1969.92,6,2024
2024-01-04,Camiseta,4,202.34,809.36,1,2024
2024-01-11,Sapato,4,435.67,1742.68,1,2024
2025-08-21,Tênis,7,182.92,1280.4399999999998,8,2025
2024-04-30,Calça,6,388.32,2329.92,4,2024
2025-12-09,Boné,7,238.07,1666.49,12,2025
2024-03-02,Sapato,4,95.5,382.0,3,2024
2023-10-04,Mochila,2,62.22,124.44,10,2023
2024-09-24,Sapato,5,143.07,715.3499999999999,9,2024
2025-10-20,Boné,7,360.95,2526.65,10,2025
2023-08-06,Mochila,10,110.42,1104.2,8,2023
2025-02-01,Sapato,5,124.87,624.35,2,2025
2025-12-20,Calça,3,272.65,817.9499999999999,12,2025
2023-02-14,Camiseta,2,346.72,693.44,2,2023
2023-07-02,Calça,1,343.75,343.75,7,2023
2025-05-30,Sapato,3,105.52,316.56,5,2025
2024-10-06,Calça,10,76.0,760.0,10,2024
2023-07-22,Calça,3,168.4,505.2000000000001,7,2023
2023-11-04,Mochila,5,103.84,519.2,11,2023
2024-06-02,Mochila,2,74.66,149.32,6,2024
2025-09-20,Camiseta,7,327.25,2290.75,9,2025
2023-06-18,Camiseta,6,125.63,753.78,6,2023
2025-10-19,Calça,2,201.56,403.12,10,2025
2024-05-11,Boné,4,121.41,485.64,5,2024
2023-04-26,Calça,5,384.9,1924.5,4,2023
2024-11-15,Boné,10,211.35,2113.5,11,2024
2024-08-30,Mochila,8,444.35,3554.8,8,2024
2024-09-18,Boné,5,413.79,2068.9500000000003,9,2024
2025-08-12,Tênis,7,126.0,882.0,8,2025
2025-09-07,Boné,3,333.97,1001.91,9,2025
2024-06-24,Tênis,1,454.91,454.91,6,2024
2025-09-04,Boné,10,325.18,3251.8,9,2025
2023-01-05,Mochila,6,327.61,1965.66,1,2023
2024-03-25,Tênis,9,333.94,3005.46,3,2024
2024-12-04,Sapato,10,288.75,2887.5,12,2024
2023-01-08,Calça,8,429.82,3438.56,1,2023
2023-07-30,Sapato,10,114.05,1140.5,7,2023
2025-12-29,Calça,4,429.0,1716.0,12,2025
2024-03-27,Camiseta,5,99.9,499.5,3,2024
2023-10-15,Sapato,9,347.5,3127.5,10,2023
2024-02-26,Tênis,8,439.11,3512.88,2,2024
2023-05-02,Sapato,6,310.43,1862.58,5,2023
2025-11-24,Calça,9,220.18,1981.62,11,2025
2025-06-07,Camiseta,1,383.2,383.2,6,2025
2025-04-13,Boné,9,441.74,3975.66,4,2025
2024-05-23,Calça,2,274.6,549.2,5,2024
2025-05-08,Camiseta,6,454.6,2727.6000000000004,5,2025
2025-11-10,Camiseta,6,386.39,2318.34,11,2025
2025-09-20,Calça,10,225.83,2258.3,9,2025
2024-07-20,Camiseta,5,100.42,502.1,7,2024
2023-06-30,Camiseta,4,241.04,964.16,6,2023
2025-05-12,Calça,6,199.09,1194.54,5,2025
2023-07-24,Sapato,8,471.28,3770.24,7,2023
2024-03-27,Camiseta,1,338.88,338.88,3,2024
2025-12-24,Calça,5,70.97,354.85,12,2025
2025-09-12,Camiseta,9,269.46,2425.14,9,2025
2023-11-10,Calça,3,199.43,598.29,11,2023
2023-07-19,Calça,5,186.01,930.05,7,2023
2025-06-07,Sapato,9,226.81,2041.29,6,2025
2023-05-15,Calça,1,407.12,407.12,5,2023
2024-10-26,Tênis,3,69.9,209.7,10,2024
2023-11-15,Mochila,2,237.26,474.52,11,2023
2023-11-24,Sapato,5,484.65,2423.25,11,2023
2023-12-19,Calça,3,140.9,422.7000000000001,12,2023
2023-06-14,Sapato,9,64.43,579.8700000000001,6,2023
2024-05-02,Sapato,4,92.04,368.16,5,2024
2025-10-31,Calça,2,112.59,225.18,10,2025
2023-12-13,Sapato,1,403.43,403.43,12,2023
2023-07-04,Boné,10,311.48,3114.8,7,2023
2024-06-04,Calça,9,330.01,2970.09,6,2024
2024-10-10,Boné,6,279.3,1675.8000000000002,10,2024
2025-03-15,Mochila,7,488.21,3417.47,3,2025
2024-06-23,Camiseta,1,484.09,484.09,6,2024
2025-01-09,Camiseta,4,417.72,1670.88,1,2025
2023-04-28,Camiseta,10,67.11,671.1,4,2023
2023-09-28,Sapato,5,279.31,1396.55,9,2023
2023-08-27,Calça,1,174.83,174.83,8,2023
2023-10-20,Mochila,4,88.2,352.8,10,2023
2025-08-04,Mochila,8,483.67,3869.36,8,2025
2025-04-17,Tênis,8,135.28,1082.24,4,2025
2024-10-01,Sapato,1,344.52,344.52,10,2024
2023-10-21,Camiseta,6,226.73,1360.38,10,2023
2024-12-19,Camiseta,1,119.47,119.47,12,2024
2024-08-13,Tênis,6,273.64,1641.84,8,2024
2023-10-08,Calça,8,77.83,622.64,10,2023
2025-02-04,Boné,6,67.31,403.86,2,2025
2025-07-13,Mochila,4,379.52,1518.08,7,2025
2024-09-13,Boné,7,451.4,3159.8,9,2024
2023-10-21,Tênis,10,136.08,1360.8000000000002,10,2023
2025-01-07,Sapato,1,242.26,242.26,1,2025
2025-10-28,Tênis,9,123.28,1109.52,10,2025
2025-08-30,Camiseta,3,337.1,1011.3,8,2025
2024-11-24,Camiseta,5,468.29,2341.4500000000003,11,2024
2023-04-23,Camiseta,8,256.68,2053.44,4,2023
2023-03-06,Sapato,10,88.45,884.5,3,2023
2024-05-05,Calça,7,95.69,669.8299999999999,5,2024
2023-07-14,Camiseta,1,426.13,426.13,7,2023
2023-07-23,Sapato,5,126.89,634.45,7,2023
2024-03-05,Tênis,1,395.48,395.48,3,2024
2025-06-04,Boné,5,480.05,2400.25,6,2025
2023-03-24,Camiseta,3,279.78,839.3399999999999,3,2023
2025-12-09,Mochila,9,233.04,2097.36,12,2025
